zone_id,side,centroid_id,juusin_kansen,juusin_sidou,bside_kansen_present,bside_sidou_present
513243571,S,513243571_C,15709,15710,1,1
513243571,W,513243571_C,15709,15710,1,0
513243572,N,513243572_C,15787,15459,1,1
513243572,E,513243572_C,15787,15459,1,1
513243572,S,513243572_C,15787,15459,1,1
513243572,W,513243572_C,15787,15459,1,1
513243573,N,513243573_C,15560,15813,1,1
513243573,E,513243573_C,15560,15813,1,0
513243573,S,513243573_C,15560,15813,1,1
513243573,W,513243573_C,15560,15813,1,1
513243574,N,513243574_C,15850,15553,1,0
513243574,E,513243574_C,15850,15553,1,0
513243574,S,513243574_C,15850,15553,1,1
513243574,W,513243574_C,15850,15553,1,0
513243581,N,513243581_C,8008,8029,1,1
513243581,E,513243581_C,8008,8029,1,1
513243581,S,513243581_C,8008,8029,1,1
513243581,W,513243581_C,8008,8029,1,1
513243582,N,513243582_C,8031,8030,1,1
513243582,E,513243582_C,8031,8030,1,1
513243582,S,513243582_C,8031,8030,1,1
513243582,W,513243582_C,8031,8030,1,1
513243583,N,513243583_C,8218,8315,1,1
513243583,E,513243583_C,8218,8315,1,0
513243583,S,513243583_C,8218,8315,1,1
513243583,W,513243583_C,8218,8315,1,0
513243584,N,513243584_C,8181,8187,1,1
513243584,E,513243584_C,8181,8187,1,1
513243584,S,513243584_C,8181,8187,1,1
513243584,W,513243584_C,8181,8187,1,0
513243591,N,513243591_C,8005,8490,0,0
513243591,E,513243591_C,8005,8490,0,0
513243591,S,513243591_C,8005,8490,0,0
513243591,W,513243591_C,8005,8490,1,1
513243593,N,513243593_C,8202,8178,0,1
513243593,E,513243593_C,8202,8178,0,0
513243593,S,513243593_C,8202,8178,0,0
513243593,W,513243593_C,8202,8178,1,1
513243632,N,513243632_C,9795,0,0,0
513243632,E,513243632_C,9795,0,1,0
513243632,S,513243632_C,9795,0,0,0
513243632,W,513243632_C,9795,0,0,0
513243634,N,513243634_C,10223,10181,0,0
513243634,E,513243634_C,10223,10181,1,1
513243634,S,513243634_C,10223,10181,0,0
513243634,W,513243634_C,10223,10181,0,0
513243641,N,513243641_C,10123,9657,1,1
513243641,E,513243641_C,10123,9657,1,1
513243641,S,513243641_C,10123,9657,1,1
513243641,W,513243641_C,10123,9657,1,0
513243642,N,513243642_C,9629,9661,1,1
513243642,E,513243642_C,9629,9661,1,1
513243642,S,513243642_C,9629,9661,1,1
513243642,W,513243642_C,9629,9661,1,1
513243643,N,513243643_C,9818,10029,1,0
513243643,E,513243643_C,9818,10029,1,0
513243643,S,513243643_C,9818,10029,1,1
513243643,W,513243643_C,9818,10029,1,1
513243644,N,513243644_C,9820,10056,1,1
513243644,E,513243644_C,9820,10056,1,1
513243644,S,513243644_C,9820,10056,1,1
513243644,W,513243644_C,9820,10056,1,0
513243651,N,513243651_C,81,353,1,1
513243651,E,513243651_C,81,353,1,1
513243651,S,513243651_C,81,353,1,1
513243651,W,513243651_C,81,353,1,1
513243652,N,513243652_C,80,85,1,1
513243652,E,513243652_C,80,85,1,0
513243652,S,513243652_C,80,85,1,1
513243652,W,513243652_C,80,85,1,1
513243653,N,513243653_C,406,239,1,1
513243653,E,513243653_C,406,239,1,1
513243653,S,513243653_C,406,239,1,1
513243653,W,513243653_C,406,239,1,1
513243654,N,513243654_C,446,562,1,1
513243654,E,513243654_C,446,562,1,0
513243654,S,513243654_C,446,562,1,1
513243654,W,513243654_C,446,562,1,1
513243661,N,513243661_C,4849,4859,1,0
513243661,E,513243661_C,4849,4859,1,0
513243661,S,513243661_C,4849,4859,1,1
513243661,W,513243661_C,4849,4859,1,0
513243662,N,513243662_C,5115,4869,1,1
513243662,E,513243662_C,5115,4869,1,0
513243662,S,513243662_C,5115,4869,1,1
513243662,W,513243662_C,5115,4869,1,0
513243663,N,513243663_C,5007,4956,1,1
513243663,E,513243663_C,5007,4956,1,0
513243663,S,513243663_C,5007,4956,1,0
513243663,W,513243663_C,5007,4956,1,0
513243664,N,513243664_C,5193,4986,1,1
513243664,E,513243664_C,5193,4986,1,0
513243664,S,513243664_C,5193,4986,1,1
513243664,W,513243664_C,5193,4986,1,0
513243671,N,513243671_C,tran_d1985c3b-2e3d-46f9-ae5c-3037828b5ce2,tran_19ea7f54-c5e1-4483-a53a-278c16d62bf8,1,0
513243671,E,513243671_C,tran_d1985c3b-2e3d-46f9-ae5c-3037828b5ce2,tran_19ea7f54-c5e1-4483-a53a-278c16d62bf8,1,0
513243671,S,513243671_C,tran_d1985c3b-2e3d-46f9-ae5c-3037828b5ce2,tran_19ea7f54-c5e1-4483-a53a-278c16d62bf8,1,1
513243671,W,513243671_C,tran_d1985c3b-2e3d-46f9-ae5c-3037828b5ce2,tran_19ea7f54-c5e1-4483-a53a-278c16d62bf8,1,0
513243672,N,513243672_C,tran_b249ef4d-7a53-4c04-9441-415dd3d23d39,tran_6cf6c6f8-433d-4ed9-a6f1-a657cb3ec644,1,0
