zone_id,segments_total,count_Nat,count_Pref,count_Muni,count_Other,len_Nat_m,len_Pref_m,len_Muni_m,len_Other_m,length_total_m,score,juusinkukaku_kansen,juusinkukaku_sidouseikatudou,kyoukaikukaku_kansen_left,kyoukaikukaku_kansen_right,kyoukaikukaku_kansen_bottom,kyoukaikukaku_kansen_top,kyoukaikukaku_sidouseikatudou_left,kyoukaikukaku_sidouseikatudou_right,kyoukaikukaku_sidouseikatudou_bottom,kyoukaikukaku_sidouseikatudou_top
513243674,143,79,44,17,3,3776.61,1100.52,343.97,16.6,5237.7,5.57,tran_e7419217-7656-4705-912d-6ffea07088aa,tran_2b51662f-c5ed-4a62-85d2-0a5443e73b56,tran_d687b5ee-d108-4216-9a5e-8a6bbd43f2a9,tran_07b2d90a-15db-4acd-aa9c-e4b30ee03f63,tran_7b7af5eb-7ee0-4790-92b8-622231325341,16769,,tran_566201c4-09b9-4b7a-9576-efd86a80b30a,,16995
513243681,274,26,56,191,1,1692.24,2389.5,5554.53,6.21,9642.48,46.15,3430,3427,3700,3367,3415,3841,,4123,8256,3742
513243682,258,27,46,176,9,1785.43,1919.78,5429.55,103.01,9237.77,48.14,3669,3449,3367,3370,8252,3935,4123,3674,8260,3974
513243683,207,20,42,138,7,1842.51,1798.58,4497.77,102.32,8241.18,44.9,4031,3797,tran_07b2d90a-15db-4acd-aa9c-e4b30ee03f63,3972,3841,4038,tran_566201c4-09b9-4b7a-9576-efd86a80b30a,3818,3742,3680
513243684,142,25,34,68,15,1960.32,1810.19,2371.62,258.98,6401.11,33.69,3998,4061,4149,3887,3935,,3818,4010,3974,3879
513243691,3,0,1,2,0,0,89.21,79.59,0,168.8,37.72,3370,3674,3370,,,,3674,,8248,
513243693,5,1,2,1,1,131.14,316.7,68.56,20.05,536.45,13.96,3744,3822,3887,,,3741,4010,,,
513243732,3,1,0,2,0,1922.49,0,166.4,0,2088.89,6.37,9896,5431,,,9896,,,5431,,
513243734,7,1,1,3,2,92.61,91.68,181.26,65.82,431.37,48.87,5561,5973,,5691,,,,5545,,
513243741,108,10,48,46,4,1518.38,2681.81,1631.91,51.53,5883.63,23.06,6094,6095,,5465,6084,6087,5431,5373,5317,5493
