zone_id,boundary_type,side,is_present,boundary_id,kyoukaikukaku_kansen,kyoukaikukaku_sidouseikatudou,length_total_m,score
513243441,kansen,E,1,513243441_E,14738_9348_14733,14556_9340_14627,8513.11,17.97
513243442,kansen,E,1,513243442_E,14738_14559_9339_14648,14556_14596_14510_14634,14128.02,32.15
513243443,kansen,E,1,513243443_E,14738_14733_14739_14728,14675_14627_6566,9256.91,14.65
513243444,kansen,E,1,513243444_E,14733_13267_14648_7154,13140_14634_14729,7909.54,43.1
513243451,kansen,E,1,513243451_E,14559_13068_14738_13221,14596_13077_13277_13121,11508.12,32.14
513243452,kansen,E,1,513243452_E,13068_13393_12931_13113,13077_13080_10328_13091,8531.92,47.68
513243453,kansen,E,1,513243453_E,13240_13215_13221_2057,13140_13293_13121_2072,6796.17,51.84
513243454,kansen,E,1,513243454_E,13215_13178_13113_2073,13293_13271_13099_2077,9370.93,58.33
513243461,kansen,E,1,513243461_E,13393_11513_6285_11405,13080_11311_11526,5122.24,46.32
513243462,kansen,E,1,513243462_E,11513_tran_6da331c4-b955-452d-9142-258e7d0b8a13_11512_11778,11392_6288_11422,4442.93,36.32
513243463,kansen,E,1,513243463_E,13178_11466_11543_8710,13271_11526_11508,6008.16,33.75
513243464,kansen,E,1,513243464_E,11466_tran_090e8607-b8f1-4e30-a585-67989b3549c0_11778_15550,11410_11422_8712,6566.84,46.32
513243471,kansen,E,1,513243471_E,tran_6da331c4-b955-452d-9142-258e7d0b8a13_tran_afadeb4e-e86a-4c14-a293-5286d9b9a7ed_tran_c037efc6-633a-4a68-a7fc-e3b448f83244_tran_868e53bd-99ed-4f51-b49a-7447b16a4263,11392_tran_d32dcb47-878f-4079-a5d0-64ef4a450582_tran_b3b2b905-2801-4b76-8c29-fc6f15dc9f6c,6940.77,25.72
513243472,kansen,E,1,513243472_E,tran_bf63a880-7595-43cb-914c-d92890e074b4_17906_16383_tran_afadeb4e-e86a-4c14-a293-5286d9b9a7ed,tran_d32dcb47-878f-4079-a5d0-64ef4a450582_17808_tran_8c8e3752-964f-440e-89d2-fa6f9f666bb7,6700.06,17.64
513243473,kansen,E,1,513243473_E,tran_090e8607-b8f1-4e30-a585-67989b3549c0_tran_ad104dcd-afbd-43f2-9a3d-de2b7c32f386_tran_868e53bd-99ed-4f51-b49a-7447b16a4263_tran_2e481174-f713-4cc7-b8fe-24428977eaf9,tran_d879ac76-a0b2-4957-a0bb-3b782268d777_tran_b2e292d7-8b20-4160-a668-e555d6a0cbe9_tran_b3b2b905-2801-4b76-8c29-fc6f15dc9f6c_tran_db10298f-7115-44bb-bde3-a607cfcd22ff,6892.53,28.82
513243474,kansen,E,1,513243474_E,tran_ac644def-da41-4d62-a5e5-29d180855bdf_tran_94cf875b-0fc1-4c19-88ad-b9fe4189d0e0_tran_afadeb4e-e86a-4c14-a293-5286d9b9a7ed_15457,tran_b2e292d7-8b20-4160-a668-e555d6a0cbe9_tran_37a0a7db-474e-424a-a6fd-267bddc0e9f6_tran_8c8e3752-964f-440e-89d2-fa6f9f666bb7_15405,7881.13,22.94
513243481,kansen,E,1,513243481_E,17836_18500_17729_17992,17808_17774_18540_17913,8246.49,41.54
513243482,kansen,E,0,513243482_E,18500_15237_17937,17774_17748_18588_17898,6519.97,31.03
513243483,kansen,E,1,513243483_E,tran_94cf875b-0fc1-4c19-88ad-b9fe4189d0e0_7991_17992_7971,tran_37a0a7db-474e-424a-a6fd-267bddc0e9f6_18066_17913_18198,12021.92,60.85
513243484,kansen,E,1,513243484_E,18206_18145_17937_7991,18066_17971_17898_18200,8104.41,59.99
513243491,kansen,E,0,513243491_E,,17748,45.27,81.38
513243493,kansen,E,0,513243493_E,18145,17971,321.74,5.74
513243532,kansen,E,1,513243532_E,6986,7134,206.01,33.64
513243534,kansen,E,1,513243534_E,6860_9795,6883,1243.44,10.71
513243541,kansen,E,1,513243541_E,6986_6905_14728_6750,6987_6702_6566_6723,8377.71,44.35
513243542,kansen,E,1,513243542_E,6905_2098_7154_7108,6715_6684_14729_6730,6303.15,40.59
513243543,kansen,E,1,513243543_E,6860_6773_6750_6901,6883_6857_6723_6906,6885.08,48.61
513243544,kansen,E,1,513243544_E,6773_2371_7108_9989,6857_6803_6726_6899,7512.08,50.93
513243551,kansen,E,0,513243551_E,2098_2057_2510,6684_2413_2072_2186,6658.49,48.84
513243552,kansen,E,1,513243552_E,2173_2073_2636,2413_8697_2077_2180,6579.67,55.25
513243553,kansen,E,1,513243553_E,2371_2484_2510_17,6803_2478_2186_3,8220.5,25.4
513243554,kansen,E,1,513243554_E,2484_8793_2636_21,2478_2299_8785_2369,6344.52,30.69
513243561,kansen,E,1,513243561_E,2173_8736_8710_8782,8697_8738_11671_8779,6019.2,37.65
513243562,kansen,E,0,513243562_E,8736_15550_8784,8738_8712_8800,6318.74,13.24
513243563,kansen,E,1,513243563_E,8793_8884_8782_8878,2299_8785_4811,6828.69,24.11
513243564,kansen,E,1,513243564_E,8884_8815_8784_4804,15559_8800_8895,5602.04,10.67
513243571,kansen,E,1,513243571_E,15550_15499_tran_ad104dcd-afbd-43f2-9a3d-de2b7c32f386_15551,15439_tran_db10298f-7115-44bb-bde3-a607cfcd22ff_15523,7685.22,49.74
513243572,kansen,E,1,513243572_E,15499_8515_15457_15552,15439_8120_15405_15522,7123.77,41.61
513243573,kansen,E,1,513243573_E,8815_15582_15551_15601,15559_15523_15613,6964.56,12.49
513243574,kansen,E,1,513243574_E,15582_15605_15552_tran_2b0554d8-cac9-4789-89d1-5849aca3f908,15522,5238.71,6.86
513243581,kansen,E,1,513243581_E,8515_8393_7971_8212,8120_8065_18198_8553,8270.71,45.12
513243582,kansen,E,1,513243582_E,8393_8005_7991_8603,8065_8674_18200_8148,9897.79,53.56
513243583,kansen,E,1,513243583_E,15605_8243_8212_3415,8140_8256,5417.03,30.92
513243584,kansen,E,1,513243584_E,8243_8202_8603_8252,8189_8130_8260,6828.91,55.84
513243591,kansen,E,0,513243591_E,8005,8674,270.41,60.4
513243593,kansen,E,0,513243593_E,8202,8189_8248,404.26,55.12
513243632,kansen,E,1,513243632_E,9795,,723.85,0.0
513243634,kansen,E,1,513243634_E,9896,5317,2381.19,5.77
513243641,kansen,E,1,513243641_E,9795_9748_6901_9896,9924_6906_9768,9814.55,39.25
513243642,kansen,E,1,513243642_E,9748_9735_9989_9896,9924_9739_6899_9770,9660.03,43.97
513243643,kansen,E,1,513243643_E,10223_9794_9896_5465,10181_9768,9397.76,13.06
513243644,kansen,E,1,513243644_E,9794_9796_9896_5332,277_9770_5328,10062.01,15.66
513243651,kansen,E,1,513243651_E,163_104_17_9896,9739_68_3_159,9411.67,14.0
513243652,kansen,E,1,513243652_E,186_79_21_177,68_2369_173,6869.93,23.44
